Number,Wages,Education,Age,Gender
1,10.56,15,40,Male
2,11,13.2,19,Male
3,17.76,14,46,Male
4,14,16,50,Female
5,8.2,15,31,Male
6,16.97,13.5,30,Female
7,6.7,12,61,Female
8,14,14,46,Female
9,19.2,18,43,Male
10,7.25,11,17,Male
11,16,7,46,Male
12,23,14,32,Male
13,36.11,17,35,Male
14,20.16,20,39,Male
15,12.61,13,32,Male
16,13.65,19,30,Female
17,9,13.8,20,Female
18,18.07,13.6,48,Male
19,16.01,19,39,Female
20,26.4,12.7,38,Male
21,20.65,19,37,Male
22,23.04,19,37,Female
23,24.03,18.3,31,Male
24,12,14,46,Female
25,25.6,13,41,Male
26,6.85,15.6,31,Female
27,15,12,40,Male
28,9.75,8,60,Male
29,6.7,11,17,Female
30,15,17,39,Male
31,10.5,13.5,24,Male
32,13.26,12,52,Female
33,17.75,18,34,Male
34,14.26,12,34,Female
35,18.05,15,34,Male
36,18.39,9,40,Male
37,18.92,10.5,48,Male
38,20.64,19,39,Male
39,15.49,14,33,Female
40,10.4,13,62,Female
41,15.39,15,28,Female
42,16.8,12.5,36,Male
43,15.36,20,47,Female
44,17.98,12,53,Female
45,6.7,14,20,Male
46,5,11,17,Male
47,12,12.8,20,Male
48,6.66,15.5,31,Female
49,14,13.5,53,Female
50,25.6,14,34,Male
51,18.43,17,28,Male
52,11.5,12,48,Female
53,14,8,27,Male
54,6.03,14,22,Male
55,8.23,13,45,Female
56,15.36,11,51,Female
57,13.75,8.5,57,Male
58,7.44,9,34,Male
59,24.96,18,44,Female
60,33.18,20,54,Male
61,11.59,13.4,26,Male
62,14.09,14,33,Male
63,23.52,13,32,Male
64,15.84,12,48,Male
65,23.72,9.5,50,Male
66,8.37,12.5,65,Female
67,10.2,12,26,Female
68,7.61,14,23,Female
69,6.75,10,21,Male
70,25.91,14,35,Female
71,15.94,13.2,35,Female
72,6.71,13,28,Male
73,20.79,12,34,Female
74,8.75,12,49,Female
75,20.99,14,47,Male
76,40.32,14,42,Male
77,8.2,14,19,Male
78,11,13,27,Female
79,15,12.5,30,Male
80,40.8,20,60,Male
81,8,12,51,Female
82,14.5,10.5,45,Female
83,9,13,31,Female
84,14.4,8.5,51,Male
85,12,11,53,Female
86,7,14.3,18,Male
87,25.92,18,48,Male
88,25.44,11,41,Male
89,10,12.1,34,Female
90,12.97,15.1,56,Male
91,7,14,19,Male
92,8.89,12,18,Female
93,21.57,9,41,Male
94,20.61,12.5,40,Male
95,11.11,11,41,Male
96,22.13,14,55,Male
97,13.5,17,30,Male
98,21.56,19.1,32,Male
99,6.75,10,16,Male
100,9,14,68,Female
101,13,14.8,25,Female
102,5.54,18,23,Male
103,6.48,11,17,Male
104,40.8,16.8,39,Male
105,13.01,10.5,39,Female
106,19.17,17,49,Male
107,25.75,12.5,31,Male
108,30,20,39,Male
109,9.25,10,40,Female
110,5.76,10,17,Male
111,3.75,11,17,Male
112,40.96,10.5,54,Male
113,21.39,18,41,Female
114,3.12,17.5,24,Male
115,14.96,16.1,28,Female
116,12.55,13,37,Male
117,6.75,15.5,21,Female
118,10.56,11.8,21,Male
119,10.75,12.1,18,Male
120,5.17,17.3,34,Female
121,19.15,13,50,Male
122,35.66,20,48,Male
123,9.85,13.9,20,Male
124,27.8,12,34,Female
125,13.12,12,31,Male
126,41.38,11.1,44,Male
127,31.5,15,42,Male
128,15,17,58,Female
129,14.85,13,38,Male
130,19.2,14,28,Male
131,7.31,11,63,Female
132,13.88,12,33,Female
133,16,11,57,Female
134,7.52,11.6,19,Male
135,12.84,12.5,26,Female
136,6.42,12.5,43,Female
137,17.58,12,31,Male
138,15.07,5,65,Male
139,28.66,17,50,Male
140,6.06,12.5,20,Female
141,17.68,12,34,Male
142,28.78,16.3,40,Male
143,9.22,13,31,Female
144,7.6,11,27,Male
145,13.29,8,53,Male
146,7.2,14.6,19,Male
147,14.03,8,39,Male
148,23.04,14,40,Male
149,12.3,20,40,Male
150,21.5,13.6,24,Male
151,9.4,11,19,Female
152,11.5,8,59,Male
153,5.92,14.5,22,Female
154,27.79,13.5,57,Female
155,17.6,16.9,39,Female
156,12,6,65,Male
157,22.19,16,32,Male
158,9,14,20,Male
159,12.83,17.4,45,Female
160,5.9,10,16,Male
161,15.79,17.5,26,Male
162,7.15,11,17,Male
163,21.15,12,41,Male
164,17.14,12.5,30,Female
165,19.68,11.5,34,Male
166,10,16,31,Male
167,7.66,16,20,Female
168,7,8,35,Female
169,14.23,9,55,Male
170,6.5,16.3,20,Female
171,10.25,11.5,36,Female
172,10.5,14,25,Male
173,8.92,19.1,25,Male
174,26.88,13,37,Male
175,19.07,13,44,Male
176,12,14.1,36,Female
177,8.5,14,24,Female
178,19.67,12,36,Female
179,23.04,20,38,Male
180,15.92,20,34,Female
181,8.83,10,64,Female
182,16.46,18,25,Female
183,18.24,10,56,Male
184,12,14,37,Female
185,28.8,10.1,58,Male
186,34.78,18.5,46,Male
187,12.8,12.5,27,Female
188,7.5,18.8,43,Female
189,18.19,10,57,Female
190,21.55,12,34,Male
191,7,16,52,Female
192,11.3,12,43,Female
193,9.58,18,38,Male
194,15.43,17.8,38,Female
195,12.58,0,38,Female
196,16.22,15,46,Female
197,13.65,14.5,29,Female
198,16.8,17,30,Female
199,8.5,13,31,Female
200,20.29,20,39,Female
201,27.9,15,53,Male
202,7,12,30,Male
203,7.25,14.5,25,Female
204,14.75,16,49,Female
205,17.45,17,40,Female
206,16,16.5,46,Female
207,15.1,15.5,23,Female
208,9,10,27,Male
209,11.6,12.3,28,Female
210,16.48,12,33,Male
211,26.88,17,52,Male
212,9.65,14,40,Female
213,23.35,20,44,Male
214,10.59,12.5,29,Female
215,7.79,12,20,Female
216,15.05,19,44,Male
217,6.5,13,19,Female
218,4.8,10,34,Male
219,21.33,20,36,Female
220,22.99,12.5,51,Female
221,16.28,16,24,Male
222,7,12,18,Male
223,32.59,16,50,Female
224,9.25,9,25,Male
225,7,13,19,Male
226,21.12,17,43,Female
227,18,13,44,Male
228,19.94,12,31,Female
229,21.43,12,62,Female
230,5.8,14,33,Male
231,17.67,13,42,Female
232,16,13,43,Female
233,19.58,13,38,Male
234,15.65,14,49,Male
